事業者,物件名,都道府県,住所,収容台数,円per時,最大料金_24時間,最大料金_夜間,緯度,経度,取得日時,URL
NPC,NPC24H浮間舟渡第2パーキング,東京都,東京都北区浮間3-34-17,16,480,1100,400,35.7898301,139.6988864,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/694
NPC,NPC24H池袋ロサパーキング,東京都,東京都豊島区西池袋1-37-12,15,1320,,1800,35.73226415,139.7089432,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/693
NPC,NPC24H大森北1丁目パーキング,東京都,東京都大田区大森北1-26-4,3,880,,,35.58513777,139.72957806,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/688
NPC,NPC24H四谷4丁目第2パーキング,東京都,東京都新宿区四谷4-17-3,5,660,,600,35.689539,139.716718,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/681
NPC,NPC24H白金6丁目パーキング,東京都,東京都港区白金6-1-4,4,1760,,,35.644568,139.723264,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/680
NPC,NPC24H池袋4丁目第3パーキング,東京都,東京都豊島区池袋4-32-10,7,990,2000,500,35.73904066,139.70965059,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/693
NPC,NPC24H五反田駅東パーキング,東京都,東京都品川区東五反田1-19,16,2640,,2500,35.62641818,139.7258702,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/686
NPC,NPC24Hクイック池袋パーキング,東京都,東京都豊島区池袋2-47-2,36,660,,,35.73330684,139.7110524,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/693
NPC,NPC24H桐ケ丘1丁目パーキング,東京都,東京都北区桐ケ丘1丁目20-15,9,440,800,500,35.77760782,139.70381154,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/694
NPC,NPC24H蓮沼町パーキング,東京都,東京都板橋区蓮沼町74-17,10,660,1400,400,35.77444494,139.70448036,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/696
NPC,NPC24H市谷台町パーキング,東京都,東京都新宿区市谷台町16-8,4,792,2800,500,35.69435217,139.7174156,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/681
NPC,NPC24Hドン・キホーテ池袋駅西口店,東京都,東京都豊島区西池袋1-43-12,29,600,,,35.73290638,139.7116259,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/693
NPC,NPC24H清水町パーキング,東京都,東京都板橋区清水町59-1,16,400,1400,400,35.765605,139.7068185,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/696
NPC,NPC24H赤羽リハビリテーション病院駐車場,東京都,東京都北区赤羽西6-37-12,12,600,,400,35.77067056,139.70629903,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/694
NPC,NPC24H雑司が谷2丁目第2パーキング,東京都,東京都豊島区雑司ヶ谷2-5-1,5,660,,400,35.718316,139.715179,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/693
NPC,NPC24H新宿愛住町パーキング,東京都,東京都新宿区愛住町20-9,4,990,,400,35.69131673,139.719415,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/681
NPC,NPC24H白金台3丁目パーキング,東京都,東京都港区白金台3-2,14,1650,,400,35.63652604,139.72745495,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/680
NPC,NPC24H花崎駅前パーキング,埼玉県,埼玉県加須市花崎1-30-6,27,220,600,300,36.10897532,139.6355422,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/561
NPC,NPC24H雑司が谷2丁目パーキング,東京都,東京都豊島区雑司ヶ谷2-27-6,9,660,2000,400,35.72140077,139.7165168,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/693
NPC,NPC24H大井町第1パーキング,東京都,東京都品川区大井1-8-3,28,600,1900,800,35.60706836,139.7328221,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/686
NPC,NPC24H西川口3丁目パーキング,埼玉県,埼玉県川口市西川口3-34,23,480,1200,500,35.81092207,139.70253455,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/556
